,uu_id,timeperiod,week_number,countyfips,tract,tract_name,total_claims,edu_8th_or_less,edu_grades_9_11,edu_hs_grad_equiv,edu_post_hs,edu_unknown,top_category_employer1,top_category_employer2,top_category_employer3,gender_female,gender_male,gender_na,race_amerindian,race_asian,race_black,race_noanswer,race_hawaiiannative,race_other,race_white
0,f013068de98db1470bd986137a0c6d23,20220416,16,18003,900,"Census Tract 9, Allen County, Indiana",22,0,,14,,0,31-33,51,62,,,0,0,0,11,0,0,,
1,21957d5517323845818d87623589e1ba,20220319,12,18089,10400,"Census Tract 104, Lake County, Indiana",111,0,,108,,0,48-49,51,56,76,35,0,0,0,,,0,0,0
2,6a5609f385912113b6f1014b958ed748,20220326,13,18089,11500,"Census Tract 115, Lake County, Indiana",39,0,,,,0,56,N/A,N/A,,,0,0,0,39,0,0,0,0
3,46b2882ec4c373527ec33f7bd4f1388d,20220716,29,18089,20700,"Census Tract 207, Lake County, Indiana",14,0,,,,,56,51,44-45,,,0,0,,10,0,0,,
4,37495d17e82f7df326bfc2c4c090f7b7,20220409,15,18089,21900,"Census Tract 219, Lake County, Indiana",155,0,,69,83,,72,51,56,90,65,0,0,0,135,,,,
5,25a57fe39e03c632125308737a7d3769,20220820,34,18067,300,"Census Tract 3, Howard County, Indiana",24,0,,15,,0,31-33,51,44-45,14,10,0,0,0,,0,0,0,
6,25a57fe39e03c632125308737a7d3769,20220820,34,18067,300,"Census Tract 3, Howard County, Indiana",24,0,,15,,0,31-33,51,44-45,14,10,0,0,0,,0,0,0,
7,45c8cf419dd4c4b442dbf3603ba94379,20220129,5,18003,3200,"Census Tract 32, Allen County, Indiana",19,,,,,,56,51,31-33,11,,,0,,,,0,,12
8,8f782a6153268c6031e31784e2d4eae2,20220716,29,18089,42000,"Census Tract 420, Lake County, Indiana",20,0,,10,,,23,51,62,,,0,,0,,,0,,14
9,5c04f20bd2f8552aa7ac210dc01292fb,20220611,24,18089,42200,"Census Tract 422, Lake County, Indiana",12,,0,,,,23,22,72,,,0,0,0,,0,0,,
10,050a624d618a68e43fe31189909c644f,20220409,15,18067,700,"Census Tract 7, Howard County, Indiana",20,,0,10,,,31-33,11,62,,,0,0,0,,0,0,,14
11,bc7ebe1813e2b66f084289e1b1172f21,20220507,19,18067,900,"Census Tract 9, Howard County, Indiana",20,0,,,16,0,54,51,48-49,,,0,0,0,,0,0,0,
12,6239669cbfe444abd0a46536a670d150,20220709,28,18039,400,"Census Tract 4, Elkhart County, Indiana",20,0,,13,,0,31-33,N/A,N/A,,,0,0,0,0,,,,12
13,6657c9871fa2f67cd168e6f94354060e,20220910,37,18039,900,"Census Tract 9, Elkhart County, Indiana",50,18,,21,,,31-33,N/A,N/A,11,39,0,0,0,0,0,0,,
14,6657c9871fa2f67cd168e6f94354060e,20220903,36,18039,900,"Census Tract 9, Elkhart County, Indiana",29,14,,,,0,31-33,N/A,N/A,,,0,0,0,0,0,0,,
15,6657c9871fa2f67cd168e6f94354060e,20220903,36,18039,900,"Census Tract 9, Elkhart County, Indiana",29,14,,,,0,31-33,N/A,N/A,,,0,0,0,0,0,0,,
16,6657c9871fa2f67cd168e6f94354060e,20220910,37,18039,900,"Census Tract 9, Elkhart County, Indiana",50,18,,21,,,31-33,N/A,N/A,11,39,0,0,0,0,0,0,,
17,7df3e38fbdab0a32ca0fa9fb6c8bd8c4,20220702,27,18067,10200,"Census Tract 102, Howard County, Indiana",75,0,,50,,0,31-33,21,23,29,46,0,0,,0,,0,,71
18,7df3e38fbdab0a32ca0fa9fb6c8bd8c4,20220625,26,18067,10200,"Census Tract 102, Howard County, Indiana",66,0,,44,,0,31-33,21,23,20,46,0,0,,,,0,,61
19,e8f426c17a7172179be379cb926bd278,20220709,28,18067,10400,"Census Tract 104, Howard County, Indiana",20,0,0,,,0,31-33,N/A,N/A,,,0,0,0,0,0,0,,
20,3934b01a1e31d0a6af96867e1afbf03c,20220910,37,18039,1100,"Census Tract 11, Elkhart County, Indiana",50,,,30,,0,31-33,N/A,N/A,16,34,0,0,0,0,,0,,44
